"filename","url","tags","assetType","format","moderationStatus","publicId","assetId","displayName","deliveryType","createdAt"
"MEG-403-4","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323421/birefnet-general-lite/gap/MEG-403-4.jpg","","image","jpg","","birefnet-general-lite/gap/MEG-403-4","128bc02f028a3d029df77e4920e0671c","MEG-403-4","upload","2026-03-24T03:37:01Z"
"MIRAGE-902-11","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323416/birefnet-general-lite/gap/MIRAGE-902-11.jpg","","image","jpg","","birefnet-general-lite/gap/MIRAGE-902-11","c558cab205eebcd9090c870feeb2761e","MIRAGE-902-11","upload","2026-03-24T03:36:56Z"
"DAYNA-015-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323403/birefnet-general-lite/gap/DAYNA-015-2.jpg","","image","jpg","","birefnet-general-lite/gap/DAYNA-015-2","578221257cf929942211509c37f8a617","DAYNA-015-2","upload","2026-03-24T03:36:43Z"
"MEG-403-7","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323403/birefnet-general-lite/gap/MEG-403-7.jpg","","image","jpg","","birefnet-general-lite/gap/MEG-403-7","3e3dea44002d137f065867eaa0b79b1e","MEG-403-7","upload","2026-03-24T03:36:43Z"
"FIORA-232-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323402/birefnet-general-lite/gap/FIORA-232-6.jpg","","image","jpg","","birefnet-general-lite/gap/FIORA-232-6","ae5a83debbacc3bee0a8e7e587695133","FIORA-232-6","upload","2026-03-24T03:36:42Z"
"FERNANDO-319-3","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323498/birefnet-general-lite/gap/FERNANDO-319-3.jpg","","image","jpg","","birefnet-general-lite/gap/FERNANDO-319-3","98271f9ae017fcbbfb8ce68c15407fd0","FERNANDO-319-3","upload","2026-03-24T03:38:18Z"
"MISSION-600-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323492/birefnet-general-lite/gap/MISSION-600-6.jpg","","image","jpg","","birefnet-general-lite/gap/MISSION-600-6","a2e2bdedd27c1705a53fa9effe0286b6","MISSION-600-6","upload","2026-03-24T03:38:12Z"
"PORTER-234-5","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323490/birefnet-general-lite/gap/PORTER-234-5.jpg","","image","jpg","","birefnet-general-lite/gap/PORTER-234-5","d81d5ce751351e591834e04c48b4b92a","PORTER-234-5","upload","2026-03-24T03:38:10Z"
"KIRA-001-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323489/birefnet-general-lite/gap/KIRA-001-6.jpg","","image","jpg","","birefnet-general-lite/gap/KIRA-001-6","ec45bbcaa5f1db47348fd1e7cab1a051","KIRA-001-6","upload","2026-03-24T03:38:09Z"
"MARGO-669-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323486/birefnet-general-lite/gap/MARGO-669-6.jpg","","image","jpg","","birefnet-general-lite/gap/MARGO-669-6","893688b70dba76cc838244a8aec61f8a","MARGO-669-6","upload","2026-03-24T03:38:06Z"
"DAYNA-015-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323464/birefnet-general-lite/gap/DAYNA-015-6.jpg","","image","jpg","","birefnet-general-lite/gap/DAYNA-015-6","71c59f6d98897b40a35f6fa5d022789b","DAYNA-015-6","upload","2026-03-24T03:37:44Z"
"ARDEN-234-3","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323459/birefnet-general-lite/gap/ARDEN-234-3.jpg","","image","jpg","","birefnet-general-lite/gap/ARDEN-234-3","4274f2dacfe6b4c28a321ef507d98dd8","ARDEN-234-3","upload","2026-03-24T03:37:39Z"
"FERNANDO-232-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323446/birefnet-general-lite/gap/FERNANDO-232-6.jpg","","image","jpg","","birefnet-general-lite/gap/FERNANDO-232-6","468878808b4144914f86696bf2425236","FERNANDO-232-6","upload","2026-03-24T03:37:26Z"
